class,x1,x2
1,1.069,0.848
1,0.458,0.169
1,0.982,0.178
0,-0.967,0.549
0,-0.463,0.830
0,0.180,1.451
1,0.736,0.470
0,-1.500,-1.517
1,0.802,0.117
0,-2.102,-2.706
1,0.918,0.917
1,1.104,0.838
0,-0.167,1.293
1,1.217,0.536
1,0.749,0.586
1,0.811,-0.315
0,-0.399,0.061
0,-1.507,-1.529
0,-0.092,1.460
0,-0.116,0.276
0,-1.824,-1.647
1,1.118,0.732
1,0.834,0.051
1,0.533,0.487
1,1.065,0.375
0,-1.438,-1.162
0,-0.947,-1.110
0,-1.657,-1.838
0,-1.212,0.244
1,1.521,-0.331
1,0.975,0.058
0,-1.301,-1.396
1,1.148,0.499
1,0.910,0.393
1,1.366,0.431
1,0.816,0.612
1,0.700,0.979
1,0.578,0.057
0,-1.516,-1.536
0,-0.689,-0.189
0,-0.773,-0.617
1,0.793,-0.196
0,-1.022,-0.545
1,1.133,0.469
1,1.054,0.677
0,-1.385,-1.397
0,-1.504,-1.219
0,-0.383,0.086
1,0.970,-0.157
0,-0.642,-0.117
1,0.356,0.836
0,-0.514,-0.514
0,-0.582,-0.275
0,-0.713,-1.765
1,0.780,1.095
1,0.913,0.595
0,-0.338,0.430
0,-1.227,-1.274
1,1.149,-0.517
0,-0.687,0.368
0,-0.989,-0.402
0,-0.183,0.554
1,0.840,0.294
0,-0.765,-0.106
0,-1.995,-2.482
0,-0.777,-0.165
1,0.822,0.200
0,-0.505,0.098
0,-1.251,-0.771
1,1.009,0.744
0,-0.866,-0.580
0,-0.233,0.703
0,-0.499,0.129
0,-1.594,-2.315
1,0.902,1.026
1,1.120,0.514
0,-0.503,0.974
1,1.194,0.698
1,1.000,0.707
1,0.976,0.659
0,-0.983,-1.305
0,-0.915,-0.023
0,-0.690,-1.045
1,1.097,0.521
0,-0.356,1.109
0,-0.771,0.012
1,0.507,0.022
1,1.015,0.499
1,0.761,0.999
1,0.677,0.380
1,0.780,0.093
1,1.035,0.373
1,1.038,0.568
1,0.587,0.290
1,0.553,0.669
1,0.899,0.141
0,-0.734,-0.080
1,0.358,0.519
1,0.841,0.213
